KEY_CODE,MOJI,TOTAL,TOTAL0_4,TOTAL5_9,TOTAL10_14,総数１５～１９歳,総数２０～２４歳,総数２５～２９歳,総数３０～３４歳,総数３５～３９歳,総数４０～４４歳,総数４５～４９歳,総数５０～５４歳,総数５５～５９歳,総数６０～６４歳,総数６５～６９歳,総数７０～７４歳,総数１５歳未満,総数１５～６４歳,総数６５歳以上,総数７５歳以上,男の総数、年齢「不詳」含む,MALE0_4,MALE5_9,MALE10_14,男１５～１９歳,男２０～２４歳,男２５～２９歳,男３０～３４歳,男３５～３９歳,男４０～４４歳,男４５～４９歳,男５０～５４歳,男５５～５９歳,男６０～６４歳,男６５～６９歳,男７０～７４歳,男１５歳未満,男１５～６４歳,男６５歳以上,男７５歳以上,女の総数、年齢「不詳」含む,FEMALE0_4,FEMALE5_9,FEMALE10_14,女１５～１９歳,女２０～２４歳,女２５～２９歳,女３０～３４歳,女３５～３９歳,女４０～４４歳,女４５～４９歳,女５０～５４歳,女５５～５９歳,女６０～６４歳,女６５～６９歳,女７０～７４歳,女１５歳未満,女１５～６４歳,女６５歳以上,女７５歳以上
27111007003,難波中３丁目,1608,64,34,21,35,166,225,209,168,122,88,74,57,58,81,27,119,1202,176,68,787,37,19,14,16,70,95,114,88,55,49,31,31,28,48,12,70,577,81,21,821,27,15,7,19,96,130,95,80,67,39,43,26,30,33,15,49,625,95,47
27111008001,元町１丁目,1535,67,30,17,17,108,209,209,170,111,90,69,62,45,71,46,114,1090,196,79,737,37,17,9,8,35,82,97,93,64,52,36,27,26,26,21,63,520,77,30,798,30,13,8,9,73,127,112,77,47,38,33,35,19,45,25,51,570,119,49
27111008002,元町２丁目,1459,38,25,22,70,158,208,175,110,89,85,53,60,55,61,66,85,1063,212,85,705,22,16,7,25,60,88,96,62,44,45,31,34,27,34,32,45,512,94,28,754,16,9,15,45,98,120,79,48,45,40,22,26,28,27,34,40,551,118,57
27111008003,元町３丁目,1824,44,26,19,45,181,306,239,157,125,81,73,76,88,73,62,89,1371,222,87,934,23,10,10,20,89,150,128,90,75,48,35,42,43,39,31,43,720,101,31,890,21,16,9,25,92,156,111,67,50,33,38,34,45,34,31,46,651,121,56
27111009001,湊町１丁目,1130,52,20,37,25,23,40,46,74,107,123,107,83,83,109,63,109,711,267,95,519,29,10,18,13,10,20,18,34,47,49,51,37,41,45,28,57,320,116,43,611,23,10,19,12,13,20,28,40,60,74,56,46,42,64,35,52,391,151,52
27111009002,湊町２丁目,2241,128,70,57,56,63,139,252,201,249,195,217,147,121,83,54,255,1640,253,116,1060,60,34,26,30,20,54,112,97,129,84,106,69,68,46,27,120,769,123,50,1181,68,36,31,26,43,85,140,104,120,111,111,78,53,37,27,135,871,130,66
27111010001,敷津東１丁目,419,7,6,12,11,76,60,52,24,41,22,9,17,15,12,13,25,327,38,13,225,4,2,4,5,39,36,31,13,23,15,2,13,7,6,7,10,184,18,5,194,3,4,8,6,37,24,21,11,18,7,7,4,8,6,6,15,143,20,8
27111010002,敷津東２丁目,1025,47,14,8,12,71,123,125,101,81,86,67,45,49,41,36,69,760,137,60,525,27,8,3,5,29,56,57,60,38,50,36,25,30,23,24,38,386,70,23,500,20,6,5,7,42,67,68,41,43,36,31,20,19,18,12,31,374,67,37
27111010003,敷津東３丁目,1089,30,26,24,32,70,115,119,97,80,66,41,40,62,74,65,80,722,253,114,512,17,11,14,7,31,51,73,52,45,34,24,19,24,31,23,42,360,93,39,577,13,15,10,25,39,64,46,45,35,32,17,21,38,43,42,38,362,160,75
27111011001,敷津西１丁目,2396,63,42,32,47,222,388,324,209,154,129,111,80,89,120,90,137,1753,333,123,1242,36,19,15,21,95,177,180,120,84,73,71,44,57,58,44,70,922,149,47,1154,27,23,17,26,127,211,144,89,70,56,40,36,32,62,46,67,831,184,76
27111011002,敷津西２丁目,2449,44,32,20,51,218,401,296,184,171,129,118,95,101,128,99,96,1764,381,154,1253,18,17,3,22,87,183,159,111,102,75,69,37,65,78,51,38,910,201,72,1196,26,15,17,29,131,218,137,73,69,54,49,58,36,50,48,58,854,180,82
27111012001,戎本町１丁目,1740,30,17,21,40,182,324,203,122,120,103,91,78,68,62,45,68,1331,198,91,929,17,8,8,22,86,164,121,73,72,61,55,42,38,37,24,33,734,93,32,811,13,9,13,18,96,160,82,49,48,42,36,36,30,25,21,35,597,105,59
27111012002,戎本町２丁目,788,15,8,5,16,67,57,43,54,33,34,42,43,61,108,79,28,450,284,97,439,6,5,1,12,33,26,27,33,20,20,24,26,38,66,49,12,259,153,38,349,9,3,4,4,34,31,16,21,13,14,18,17,23,42,30,16,191,131,59
27111013001,大国１丁目,1800,53,34,31,44,193,275,219,152,137,113,73,61,66,71,64,118,1333,225,90,970,28,19,16,17,92,142,108,88,84,74,41,40,42,43,32,63,728,108,33,830,25,15,15,27,101,133,111,64,53,39,32,21,24,28,32,55,605,117,57
27111013002,大国２丁目,2071,65,36,42,62,216,324,225,162,155,100,77,78,111,80,76,143,1510,341,185,1060,26,22,26,25,92,160,132,92,81,49,42,40,63,59,41,74,776,179,79,1011,39,14,16,37,124,164,93,70,74,51,35,38,48,21,35,69,734,162,106
27111013003,大国３丁目,2170,46,39,44,60,242,338,280,149,143,121,120,84,96,96,68,129,1633,290,126,1233,24,16,26,25,127,196,161,99,76,77,73,48,64,69,42,66,946,153,42,937,22,23,18,35,115,142,119,50,67,44,47,36,32,27,26,63,687,137,84
27111014001,浪速東１丁目,34,0,0,0,0,0,2,4,1,2,0,3,4,3,4,6,0,19,15,5,20,0,0,0,0,0,0,3,1,2,0,3,2,3,1,3,0,14,6,2,14,0,0,0,0,0,2,1,0,0,0,0,2,0,3,3,0,5,9,3
27111014002,浪速東２丁目,518,22,22,28,21,25,22,33,24,32,28,39,28,27,40,32,72,279,164,92,241,12,13,16,8,13,12,17,13,14,12,16,12,15,18,11,41,132,66,37,277,10,9,12,13,12,10,16,11,18,16,23,16,12,22,21,31,147,98,55
27111014003,浪速東３丁目,509,24,17,21,20,22,15,20,29,33,25,27,31,37,47,58,62,259,186,81,236,13,11,11,7,13,7,13,12,16,14,14,12,14,24,26,35,122,78,28,273,11,6,10,13,9,8,7,17,17,11,13,19,23,23,32,27,137,108,53
27111015001,浪速西１丁目,606,18,15,16,19,31,33,22,34,45,21,44,36,43,55,43,49,328,200,102,278,9,9,8,12,13,17,11,16,25,2,25,15,23,24,16,26,159,76,36,328,9,6,8,7,18,16,11,18,20,19,19,21,20,31,27,23,169,124,66
27111015002,浪速西２丁目,530,29,24,17,23,16,37,32,33,34,39,34,20,28,33,50,70,296,162,79,240,20,11,9,13,6,17,16,14,19,20,16,9,15,14,15,40,145,54,25,290,9,13,8,10,10,20,16,19,15,19,18,11,13,19,35,30,151,108,54
27111015003,浪速西３丁目,409,22,22,11,23,21,18,16,15,26,34,23,20,31,35,30,55,227,127,62,182,12,14,4,10,8,9,7,5,12,15,14,7,17,19,12,30,104,48,17,227,10,8,7,13,13,9,9,10,14,19,9,13,14,16,18,25,123,79,45
27111015004,浪速西４丁目,409,13,26,14,20,19,26,27,19,22,19,28,45,28,42,23,53,253,103,38,193,8,15,6,11,9,12,15,6,10,10,7,16,20,18,11,29,116,48,19,216,5,11,8,9,10,14,12,13,12,9,21,29,8,24,12,24,137,55,19
