MOJI,YEAR,MONTH,INCIDENT,TIME
恵美須町西３丁目,2016年,8月,0時頃,公然わいせつ
桜川２丁目,2016年,9月,21時頃,公然わいせつ
敷津西２丁目,2016年,9月,9時頃,痴漢
下寺２丁目,2016年,9月,1時頃,公然わいせつ
大国２丁目,2016年,9月,0時頃,痴漢
敷津東３丁目,2016年,9月,1時頃,痴漢
下寺２丁目,2016年,9月,5時頃,強制わいせつ
日本橋３丁目,2016年,9月,20時頃,痴漢
湊町２丁目,2016年,9月,20時頃,痴漢
敷津西１丁目,2016年,9月,0時頃,痴漢
難波中１丁目,2016年,9月,20時頃,公然わいせつ
恵美須東３丁目,2016年,9月,1時頃,公然わいせつ
幸町２丁目,2016年,10月,18時頃,公然わいせつ
大国町３丁目,2016年,10月,0時頃,つきまとい事案
浪速西４丁目,2016年,10月,19時頃,公然わいせつ
桜川４丁目,2016年,10月,23時頃,痴漢
幸町３丁目,2016年,10月,4時頃,公然わいせつ
稲荷１丁目,2016年,10月,23時頃,公然わいせつ
大国２丁目,2016年,10月,21時頃,公然わいせつ
幸町３丁目,2016年,10月,3時頃,公然わいせつ
日本橋３丁目,2016年,10月,3時頃,痴漢
日本橋５丁目,2016年,10月,2時頃,公然わいせつ
桜川２丁目,2016年,11月,0時頃,公然わいせつ
桜川３丁目,2016年,11月,0時頃,痴漢
大国１丁目,2016年,11月,1時頃,痴漢
大国３丁目,2016年,11月,23時頃,痴漢
元町１丁目,2016年,11月,0時頃,痴漢
幸町２丁目,2016年,11月,5時頃,痴漢
敷津西２丁目,2016年,11月,3時頃,痴漢
敷津西２丁目,2016年,12月,1時頃,痴漢
難波中２丁目,2016年,12月,13時頃,強制わいせつ
桜川２丁目,2017年,1月,0時頃,痴漢
日本橋東３丁目,2017年,1月,19時頃,公然わいせつ
日本橋３丁目,2017年,2月,3時頃,つきまとい事案
敷津西２丁目,2017年,3月,15時頃,声かけ事案
敷津西１丁目,2017年,3月,10時頃,不審者情報
稲荷１丁目,2017年,3月,0時頃,公然わいせつ
湊町１丁目,2017年,3月,8時頃,声かけ事案
元町２丁目,2017年,3月,1時頃,つきまとい事案
塩草１丁目,2017年,4月,1時頃,公然わいせつ
大国１丁目,2017年,4月,4時頃,痴漢
桜川１丁目,2017年,4月,4時頃,公然わいせつ
幸町３丁目,2017年,4月,3時頃,痴漢
日本橋東１丁目,2017年,4月,4時頃,公然わいせつ
久保吉２丁目,2017年,4月,0時頃,公然わいせつ
日本橋西２丁目,2017年,4月,14時頃,不審者情報
